match_id,team,passes,total_passes,possession_pct
7571,Senegal,328,794.0,41.31
7572,Japan,587,1086.0,54.05
7572,Poland,499,1086.0,45.95
7576,Spain,780,1168.0,66.78
7576,Portugal,388,1168.0,33.22
7577,Morocco,492,759.0,64.82
7577,Iran,267,759.0,35.18
7578,Uruguay,623,1092.0,57.05
7578,Egypt,469,1092.0,42.95
7579,Portugal,593,884.0,67.08
7579,Uruguay,291,884.0,32.92
7580,Argentina,535,885.0,60.45
7580,France,350,885.0,39.55
7581,Croatia,665,1246.0,53.37
7581,Denmark,581,1246.0,46.63
7582,Spain,1157,1483.0,78.02
7582,Russia,326,1483.0,21.98
7583,Mexico,429,839.0,51.13
7583,Brazil,410,839.0,48.87
7584,Belgium,618,1075.0,57.49
7584,Japan,457,1075.0,42.51
7585,England,605,1161.0,52.11
7585,Colombia,556,1161.0,47.89
7586,Switzerland,615,919.0,66.92
7586,Sweden,304,919.0,33.08
8649,France,567,919.0,61.7
8649,Uruguay,352,919.0,38.3
8650,Brazil,532,917.0,58.02
8650,Belgium,385,917.0,41.98
8651,England,563,963.0,58.46
8651,Sweden,400,963.0,41.54
8652,Croatia,771,1188.0,64.9
8652,Russia,417,1188.0,35.1
8655,Belgium,623,990.0,62.93
8655,France,367,990.0,37.07
8656,Croatia,656,1193.0,54.99
8656,England,537,1193.0,45.01
8657,England,685,1184.0,57.85
8657,Belgium,499,1184.0,42.15
8658,Croatia,554,846.0,65.48
8658,France,292,846.0,34.52
9575,Barcelona,685,1135.0,60.35
9575,Real Betis,450,1135.0,39.65
9581,Barcelona,785,1076.0,72.96
9581,Deportivo Alavés,291,1076.0,27.04
9592,Barcelona,766,1019.0,75.17
9592,Espanyol,253,1019.0,24.83
9602,Barcelona,709,1018.0,69.65
9602,Getafe,309,1018.0,30.35
9609,Barcelona,639,1063.0,60.11
9609,Eibar,424,1063.0,39.89
9620,Barcelona,593,982.0,60.39
9620,Girona,389,982.0,39.61
9636,Las Palmas,588,1126.0,52.22
9636,Barcelona,538,1126.0,47.78
9642,Barcelona,773,1136.0,68.05
9642,Atlético Madrid,363,1136.0,31.95
9650,Barcelona,746,1164.0,64.09
9650,Málaga,418,1164.0,35.91
9661,Barcelona,600,996.0,60.24
9661,Athletic Club,396,996.0,39.76
9673,Barcelona,615,1184.0,51.94
