match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
7557,Iran,26,17.91,4.33,4.11
7557,Portugal,29,16.19,4.79,3.78
7558,Uruguay,24,16.28,4.55,4.28
7558,Russia,19,16.5,4.47,3.73
7559,Egypt,27,21.66,4.35,4.6
7559,Saudi Arabia,35,14.85,4.75,3.25
7560,Morocco,23,11.9,3.92,4.15
7560,Spain,23,14.82,4.78,3.37
7561,Iceland,26,15.67,4.76,3.57
7561,Croatia,27,13.63,5.2,3.15
7562,Australia,27,16.3,4.9,3.53
7562,Peru,26,12.66,5.23,2.56
7563,Denmark,32,10.36,3.73,3.21
7563,France,32,16.25,5.54,3.01
7564,Nigeria,26,12.91,4.25,3.18
7564,Argentina,24,15.5,4.96,3.16
7565,Serbia,30,16.24,5.35,3.08
7565,Brazil,30,14.46,5.22,3.06
7566,Sweden,16,16.67,4.46,3.85
7566,Mexico,33,14.27,5.12,2.97
7567,Germany,29,17.04,5.36,3.52
7567,South Korea,24,14.19,4.57,3.35
7568,Switzerland,16,19.59,5.41,3.91
7568,Costa Rica,25,19.07,4.68,3.75
7569,Panama,25,13.61,3.73,4.04
7569,Tunisia,18,14.69,5.09,3.03
7570,England,31,14.36,4.4,3.58
7570,Belgium,26,14.37,4.91,3.09
7571,Senegal,27,17.2,4.35,227.55
7571,Colombia,20,19.51,5.03,3.75
7572,Japan,13,21.81,5.68,4.48
7572,Poland,24,15.87,5.01,3.27
7576,Portugal,17,16.51,5.14,3.23
7576,Spain,14,13.67,4.91,3.15
7577,Iran,26,13.24,3.4,4.03
7577,Morocco,23,17.19,4.82,3.65
7578,Egypt,27,19.37,4.93,3.96
7578,Uruguay,36,15.4,4.79,3.54
7579,Uruguay,24,13.53,3.93,3.91
7579,Portugal,35,16.74,5.14,3.28
7580,France,30,17.11,4.85,3.86
7580,Argentina,18,16.69,5.27,3.28
7581,Croatia,33,14.51,4.62,3.49
7581,Denmark,23,12.9,4.65,3.42
7582,Russia,24,16.37,4.06,4.04
7582,Spain,25,12.19,5.13,3.28
7583,Mexico,28,17.61,4.75,3.97
7583,Brazil,22,15.91,4.77,3.81
7584,Belgium,24,17.64,5.2,3.81
7584,Japan,22,12.25,4.71,3.02
7585,England,25,15.3,4.49,3.56
7585,Colombia,32,16.1,5.03,3.26
7586,Sweden,24,18.04,5.08,4.04
7586,Switzerland,28,14.33,4.73,3.24
8649,Uruguay,38,14.95,4.86,3.35
8649,France,29,14.21,5.36,3.07
8650,Belgium,25,28.1,4.86,5.45
8650,Brazil,27,15.6,5.28,3.27
8651,Sweden,17,20.62,4.6,5.39
8651,England,27,12.63,4.4,3.98
8652,Russia,30,15.94,4.67,3.51
8652,Croatia,37,13.85,5.16,2.74
8655,France,20,18.07,4.35,4.02
8655,Belgium,21,17.6,5.07,3.7
8656,Croatia,37,17.7,4.85,3.85
8656,England,28,15.96,4.63,3.68
8657,Belgium,28,20.75,5.38,3.93
8657,England,25,18.76,5.54,3.58
8658,Croatia,26,19.45,4.96,4.22
8658,France,21,12.85,4.04,3.74
9575,Real Betis,22,14.17,4.67,95.61
9575,Barcelona,29,17.16,5.44,3.31
9581,Barcelona,28,14.6,4.83,2.94
9581,Deportivo Alavés,29,12.0,4.88,2.81
9592,Espanyol,26,13.8,4.08,3.97
9592,Barcelona,20,14.89,5.02,3.21
9602,Getafe,26,13.01,4.44,3.32
