team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Werder Bremen,Philipp Bargfrede,1186.0,32.0,11.0,8.0,2.43,0.83,0.61,3.87,Supporting Progressor
LAFC,Aaron Long,93.0,3.0,1.0,0.0,2.9,0.97,0.0,3.87,Supporting Progressor
Montpellier,Boubakar Kouyate,93.0,3.0,1.0,0.0,2.9,0.97,0.0,3.87,Supporting Progressor
Cincinnati,Ian Murphy,93.0,3.0,0.0,1.0,2.9,0.0,0.97,3.87,Supporting Progressor
France Women's,Thiniba Samoura,186.0,5.0,3.0,0.0,2.42,1.45,0.0,3.87,Supporting Progressor
AFC Bournemouth,Sylvain Distin,859.0,31.0,5.0,1.0,3.25,0.52,0.1,3.87,Progressive Passer
Lille,Ibrahim Amadou,1697.0,53.0,18.0,2.0,2.81,0.95,0.11,3.8699999999999997,Supporting Progressor
Turkey,Kenan Karaman,163.0,2.0,1.0,4.0,1.1,0.55,2.21,3.8600000000000003,Limited Progression
Inter Miami,Gregore de Magalhães Silva,70.0,3.0,0.0,0.0,3.86,0.0,0.0,3.86,Progressive Passer
Manchester United,Darren Fletcher,70.0,0.0,2.0,1.0,0.0,2.57,1.29,3.86,Supporting Progressor
Darmstadt 98,Jan Rosenthal,1420.0,17.0,13.0,31.0,1.08,0.82,1.96,3.86,Limited Progression
Angers,Gaël Angoula,1025.0,26.0,6.0,12.0,2.28,0.53,1.05,3.8599999999999994,Supporting Progressor
Guingamp,Lars Christian Jacobsen,2759.0,47.0,45.0,26.0,1.53,1.47,0.85,3.85,Supporting Progressor
Reading WFC,Josanne Potter,2194.0,83.0,11.0,0.0,3.4,0.45,0.0,3.85,Progressive Passer
VfB Stuttgart,Waldemar Anton,187.0,6.0,2.0,0.0,2.89,0.96,0.0,3.85,Supporting Progressor
Turkey,Kaan Ayhan,538.0,19.0,1.0,3.0,3.18,0.17,0.5,3.85,Progressive Passer
FC Heidenheim,Lennard Maloney,187.0,6.0,0.0,2.0,2.89,0.0,0.96,3.85,Supporting Progressor
Frosinone,Yussif Raman Chibsah,1168.0,23.0,16.0,11.0,1.77,1.23,0.85,3.85,Limited Progression
Venezuela,Jhonder Leonel Cádiz Fernández,117.0,2.0,1.0,2.0,1.54,0.77,1.54,3.85,Limited Progression
Hoffenheim,Pirmin Schwegler,1427.0,49.0,6.0,6.0,3.09,0.38,0.38,3.8499999999999996,Progressive Passer
Germany Women's,Kathrin Julia Hendrich,1030.0,27.0,16.0,1.0,2.36,1.4,0.09,3.8499999999999996,Supporting Progressor
Republic of Ireland Women's,Megan Connolly,281.0,10.0,2.0,0.0,3.2,0.64,0.0,3.8400000000000003,Progressive Passer
Mexico,Johan Felipe Vásquez Ibarra,281.0,9.0,3.0,0.0,2.88,0.96,0.0,3.84,Supporting Progressor
Liverpool,Joe Gomez,445.0,10.0,4.0,5.0,2.02,0.81,1.01,3.84,Supporting Progressor
Carpi,Luca Marrone,730.0,20.0,9.0,2.0,2.47,1.11,0.25,3.83,Supporting Progressor
Qatar,Bassam Hisham Al Rawi,94.0,4.0,0.0,0.0,3.83,0.0,0.0,3.83,Progressive Passer
Real Madrid,Álvaro Odriozola Arzallus,47.0,0.0,2.0,0.0,0.0,3.83,0.0,3.83,Ball Carrier
VfB Stuttgart,Florian Klein,1555.0,30.0,16.0,20.0,1.74,0.93,1.16,3.83,Limited Progression
Georgia,Anzor Mekvabishvili,188.0,2.0,4.0,2.0,0.96,1.91,0.96,3.83,Supporting Progressor
Scotland Women's,Leanne Crichton,94.0,4.0,0.0,0.0,3.83,0.0,0.0,3.83,Progressive Passer
Leganés,Alberto Martín Romo García Adámez,94.0,4.0,0.0,0.0,3.83,0.0,0.0,3.83,Progressive Passer
VfB Stuttgart,Dan-Axel Zagadou,94.0,4.0,0.0,0.0,3.83,0.0,0.0,3.83,Progressive Passer
Union Berlin,Yorbe Vertessen,47.0,0.0,0.0,2.0,0.0,0.0,3.83,3.83,Limited Progression
Hoffenheim,Ozan Muhammed Kabak,188.0,4.0,3.0,1.0,1.91,1.44,0.48,3.8299999999999996,Supporting Progressor
Austria Women's,Sarah Puntigam,353.0,9.0,4.0,2.0,2.29,1.02,0.51,3.8200000000000003,Supporting Progressor
France Women's,Griedge Mbock Bathy Nka,873.0,31.0,6.0,0.0,3.2,0.62,0.0,3.8200000000000003,Progressive Passer
Bayern Munich,Anatoliy Tymoshchuk,118.0,3.0,2.0,0.0,2.29,1.53,0.0,3.8200000000000003,Supporting Progressor
Costa Rica Women's,Gabriela Guillén Alvarez,47.0,0.0,1.0,1.0,0.0,1.91,1.91,3.82,Supporting Progressor
Everton,Guangtai Jiang,306.0,9.0,3.0,1.0,2.65,0.88,0.29,3.82,Supporting Progressor
Leganés,Martín Maximiliano Mantovani,94.0,2.0,2.0,0.0,1.91,1.91,0.0,3.82,Supporting Progressor
Rayo Vallecano,Alberto Perea Correoso,47.0,0.0,1.0,1.0,0.0,1.91,1.91,3.82,Supporting Progressor
Boca Juniors,Nelson David Vivas,47.0,1.0,0.0,1.0,1.91,0.0,1.91,3.82,Supporting Progressor
Everton LFC,Maéva Clemaron,1534.0,48.0,10.0,7.0,2.82,0.59,0.41,3.82,Supporting Progressor
New York Red Bulls,Peter Stroud,47.0,1.0,0.0,1.0,1.91,0.0,1.91,3.82,Supporting Progressor
Juventus,Leonardo Bonucci,3391.0,121.0,19.0,4.0,3.21,0.5,0.11,3.82,Progressive Passer
Kerala Blasters,Ayush Adhikari,686.0,16.0,5.0,8.0,2.1,0.66,1.05,3.8100000000000005,Supporting Progressor
Granada,Artem Kravets,71.0,1.0,1.0,1.0,1.27,1.27,1.27,3.81,Limited Progression
Getafe,Juan Antonio Rodríguez Villamuela,2713.0,85.0,20.0,10.0,2.82,0.66,0.33,3.81,Supporting Progressor
Gimnàstic Tarragona,Ángel Morales Cuerva,71.0,1.0,1.0,1.0,1.27,1.27,1.27,3.81,Limited Progression
Racing Santander,Lionel Sebastián Scaloni,71.0,1.0,0.0,2.0,1.27,0.0,2.54,3.81,Limited Progression
Tanzania,Mudathiri Yahya,71.0,2.0,1.0,0.0,2.54,1.27,0.0,3.81,Supporting Progressor
Morocco,Manuel Marouan da Costa Trinidade,189.0,5.0,3.0,0.0,2.38,1.43,0.0,3.8099999999999996,Supporting Progressor
Vietnam Women's,Thị Thanh Nhã Nguyễn,189.0,1.0,3.0,4.0,0.48,1.43,1.9,3.8099999999999996,Supporting Progressor
Everton,Gary Naysmith,118.0,0.0,4.0,1.0,0.0,3.05,0.76,3.8099999999999996,Ball Carrier
Juventus,Roberto Tricella,118.0,3.0,1.0,1.0,2.29,0.76,0.76,3.8099999999999996,Supporting Progressor
Portland Thorns,Celeste Boureille,497.0,15.0,3.0,3.0,2.72,0.54,0.54,3.8000000000000003,Supporting Progressor
Norway Women's,Ingrid Moe Wold,450.0,8.0,4.0,7.0,1.6,0.8,1.4,3.8000000000000003,Limited Progression
Colombia Women's,Carolina Arias Vidal,379.0,9.0,2.0,5.0,2.14,0.47,1.19,3.8000000000000003,Supporting Progressor
Eintracht Frankfurt,Marco Russ,2347.0,66.0,24.0,9.0,2.53,0.92,0.35,3.8,Supporting Progressor
East Bengal,Darren Sidoel,663.0,11.0,5.0,12.0,1.49,0.68,1.63,3.8,Limited Progression
Leeds United,Lucas Radebe,71.0,3.0,0.0,0.0,3.8,0.0,0.0,3.8,Progressive Passer
Philippines Women's,Sofia Nicole Dador Harrison,189.0,4.0,2.0,2.0,1.9,0.95,0.95,3.8,Supporting Progressor
FC Heidenheim,Tim Siersleben,95.0,4.0,0.0,0.0,3.79,0.0,0.0,3.79,Progressive Passer
Hertha Berlin,Per Ciljan Skjelbred,2710.0,80.0,11.0,23.0,2.66,0.37,0.76,3.79,Supporting Progressor
Cameroon,Harold Moukoudi,95.0,4.0,0.0,0.0,3.79,0.0,0.0,3.79,Progressive Passer
Brazil Women's,Lauren Eduarda Leal Costa,190.0,8.0,0.0,0.0,3.79,0.0,0.0,3.79,Progressive Passer
Freiburg,Lukas Kübler,95.0,3.0,0.0,1.0,2.84,0.0,0.95,3.79,Supporting Progressor
Valencia,Simone Zaza,119.0,0.0,1.0,4.0,0.0,0.76,3.03,3.79,Limited Progression
Manchester City,Nicolás Hernán Otamendi,2713.0,87.0,25.0,2.0,2.89,0.83,0.07,3.79,Supporting Progressor
Costa Rica Women's,Priscila Chinchilla,285.0,2.0,3.0,7.0,0.63,0.95,2.21,3.79,Limited Progression
Norway Women's,Guro Bergsvand,166.0,5.0,2.0,0.0,2.71,1.08,0.0,3.79,Supporting Progressor
Aston Villa,Kieran Richardson,735.0,10.0,9.0,12.0,1.22,1.1,1.47,3.79,Limited Progression
Espanyol,David García De La Cruz,190.0,5.0,3.0,0.0,2.37,1.42,0.0,3.79,Supporting Progressor
Norway Women's,Lisa Fjeldstad Naalsund,261.0,6.0,3.0,2.0,2.07,1.03,0.69,3.7899999999999996,Supporting Progressor
Switzerland,Remo Freuler,1235.0,33.0,7.0,12.0,2.4,0.51,0.87,3.7800000000000002,Supporting Progressor
Espanyol,Román Fernando Martínez,143.0,4.0,1.0,1.0,2.52,0.63,0.63,3.78,Supporting Progressor
Tottenham Hotspur Women,Siri Worm,1766.0,38.0,20.0,16.0,1.94,1.02,0.82,3.78,Supporting Progressor
OGC Nice,Gaëtan Laborde,95.0,0.0,2.0,2.0,0.0,1.89,1.89,3.78,Supporting Progressor
Real Sociedad,Diego Rivas Gutiérrez,190.0,6.0,1.0,1.0,2.84,0.47,0.47,3.7799999999999994,Supporting Progressor
Cameroon,Jean-Charles Castelletto,571.0,15.0,6.0,3.0,2.36,0.95,0.47,3.7799999999999994,Supporting Progressor
Sassuolo,Marcello Gazzola,477.0,8.0,5.0,7.0,1.51,0.94,1.32,3.7700000000000005,Limited Progression
Osasuna,Ignacio Vidal Miralles,263.0,5.0,3.0,3.0,1.71,1.03,1.03,3.7700000000000005,Limited Progression
Bayer Leverkusen,Benjamin Henrichs,549.0,11.0,7.0,5.0,1.8,1.15,0.82,3.77,Limited Progression
Tunisia,Yassine Meriah,836.0,31.0,4.0,0.0,3.34,0.43,0.0,3.77,Progressive Passer
Sassuolo,Alessandro Longhi,310.0,7.0,2.0,4.0,2.03,0.58,1.16,3.7699999999999996,Supporting Progressor
Morocco,Noussair Mazraoui,430.0,4.0,3.0,11.0,0.84,0.63,2.3,3.7699999999999996,Limited Progression
Saint-Étienne,Loïc Perrin,2127.0,78.0,8.0,3.0,3.3,0.34,0.13,3.7699999999999996,Progressive Passer
Tottenham Hotspur,Darren Anderton,96.0,2.0,2.0,0.0,1.88,1.88,0.0,3.76,Supporting Progressor
Nashville SC,Randall Enrique Leal Arley,48.0,1.0,0.0,1.0,1.88,0.0,1.88,3.76,Supporting Progressor
Wales,Kayleigh Anne Marie Barton,96.0,2.0,1.0,1.0,1.88,0.94,0.94,3.76,Supporting Progressor
Everton LFC,Gabrielle George,2997.0,74.0,42.0,9.0,2.22,1.26,0.27,3.7500000000000004,Supporting Progressor
AS Monaco,Mohamed Camara,72.0,2.0,1.0,0.0,2.5,1.25,0.0,3.75,Supporting Progressor
Algeria,Sofiane Feghouli,48.0,2.0,0.0,0.0,3.75,0.0,0.0,3.75,Progressive Passer
Granada,Salvador Ruiz Rodríguez,72.0,1.0,0.0,2.0,1.25,0.0,2.5,3.75,Limited Progression
Racing Santander,Cristian Osvaldo Álvarez,72.0,3.0,0.0,0.0,3.75,0.0,0.0,3.75,Progressive Passer
Aston Villa,Asmita Ale,1491.0,25.0,18.0,19.0,1.51,1.09,1.15,3.75,Limited Progression
Blackburn Rovers,Matt Jansen,72.0,1.0,1.0,1.0,1.25,1.25,1.25,3.75,Limited Progression
Hyderabad,Mark Zothanpuia,72.0,3.0,0.0,0.0,3.75,0.0,0.0,3.75,Progressive Passer
Slovakia,Patrik Hrošovský,96.0,4.0,0.0,0.0,3.75,0.0,0.0,3.75,Progressive Passer
Denmark,Victor Nelsson,96.0,4.0,0.0,0.0,3.75,0.0,0.0,3.75,Progressive Passer
Ingolstadt,Konstantin Engel,192.0,6.0,1.0,1.0,2.81,0.47,0.47,3.75,Supporting Progressor
Saudi Arabia,Abdulelah Al Amri,192.0,7.0,1.0,0.0,3.28,0.47,0.0,3.75,Progressive Passer
Real Zaragoza,Ivan Obradović,241.0,2.0,3.0,5.0,0.75,1.12,1.87,3.74,Limited Progression
Algeria,Baghdad Bounedjah,265.0,2.0,3.0,6.0,0.68,1.02,2.04,3.74,Limited Progression
Sweden,Marcus Andreas Danielsson,361.0,10.0,4.0,1.0,2.49,1.0,0.25,3.74,Supporting Progressor
New Zealand Women's,Ria Percival,530.0,13.0,4.0,5.0,2.21,0.68,0.85,3.74,Supporting Progressor
RC Deportivo La Coruña,Juan Antonio Rodríguez Villamuela,409.0,6.0,4.0,7.0,1.32,0.88,1.54,3.74,Limited Progression
Belgium Women's,Justine Vanhaevermaet,603.0,20.0,2.0,3.0,2.99,0.3,0.45,3.74,Supporting Progressor
Jamaica,Kasey Palmer,265.0,8.0,3.0,0.0,2.72,1.02,0.0,3.74,Supporting Progressor
Real Sociedad,Raúl Rodríguez Navas,361.0,11.0,4.0,0.0,2.74,1.0,0.0,3.74,Supporting Progressor
FSV Mainz 05,Julian Baumgartlinger,2738.0,64.0,25.0,25.0,2.1,0.82,0.82,3.7399999999999998,Supporting Progressor
Morocco,Karim El Ahmadi Al Aroos,266.0,6.0,2.0,3.0,2.03,0.68,1.02,3.73,Supporting Progressor
Reading WFC,Kristine Leine,2220.0,56.0,21.0,15.0,2.27,0.85,0.61,3.73,Supporting Progressor
Racing Santander,Juan José Expósito Ruíz,217.0,2.0,2.0,5.0,0.83,0.83,2.07,3.7299999999999995,Limited Progression
AS Roma,Norbert Gyömbér,97.0,2.0,1.0,1.0,1.86,0.93,0.93,3.72,Limited Progression
Italy Women's,Manuela Giugliano,1258.0,37.0,6.0,9.0,2.65,0.43,0.64,3.72,Supporting Progressor
Iran,Ahmad Nourollahi,218.0,5.0,2.0,2.0,2.06,0.83,0.83,3.72,Supporting Progressor
New Zealand Women's,Malia Grace Steinmetz,290.0,6.0,2.0,4.0,1.86,0.62,1.24,3.7199999999999998,Limited Progression
Villarreal,Santiago Cáseres,121.0,3.0,2.0,0.0,2.23,1.49,0.0,3.7199999999999998,Supporting Progressor
Zambia Women's,Siomala Mapepa,121.0,1.0,0.0,4.0,0.74,0.0,2.98,3.7199999999999998,Limited Progression
Ecuador,Piero Martín Hincapié Reyna,652.0,15.0,3.0,9.0,2.07,0.41,1.24,3.7199999999999998,Supporting Progressor
Kerala Blasters,Sanjeev Stalin,532.0,10.0,5.0,7.0,1.69,0.85,1.18,3.7199999999999998,Limited Progression
Mallorca,Álvaro Giménez Candela,145.0,1.0,2.0,3.0,0.62,1.24,1.86,3.7199999999999998,Limited Progression
Argentina,Sergio Daniel Batista,267.0,10.0,1.0,0.0,3.37,0.34,0.0,3.71,Progressive Passer
German DR,Gerd Kische,170.0,0.0,4.0,3.0,0.0,2.12,1.59,3.71,Supporting Progressor
Lorient,François Bellugou,2281.0,69.0,14.0,11.0,2.72,0.55,0.43,3.7000000000000006,Supporting Progressor
Iceland Women's,Katla Tryggvadóttir,73.0,0.0,1.0,2.0,0.0,1.23,2.47,3.7,Limited Progression
Augsburg,Mert Kömür,73.0,1.0,2.0,0.0,1.23,2.47,0.0,3.7,Supporting Progressor
Sweden,Mikael Lustig,659.0,16.0,4.0,7.0,2.19,0.55,0.96,3.7,Supporting Progressor
Aston Villa,Micah Richards,2063.0,51.0,20.0,14.0,2.22,0.87,0.61,3.7,Supporting Progressor
Gambia,Ibou Touray,73.0,0.0,1.0,2.0,0.0,1.23,2.47,3.7,Limited Progression
Serbia,Srđan Mijailović,73.0,1.0,0.0,2.0,1.23,0.0,2.47,3.7,Limited Progression
Getafe,Francisco Javier Casquero Paredes,633.0,17.0,4.0,5.0,2.42,0.57,0.71,3.6999999999999997,Supporting Progressor
Romania,Nicușor Silviu Bancu,267.0,7.0,2.0,2.0,2.36,0.67,0.67,3.6999999999999997,Supporting Progressor
Real Madrid,José Ignacio Fernández Iglesias,1511.0,32.0,11.0,19.0,1.91,0.66,1.13,3.6999999999999997,Supporting Progressor
AS Monaco,Tiemoué Bakayoko,1386.0,34.0,20.0,3.0,2.21,1.3,0.19,3.6999999999999997,Supporting Progressor
China PR Women's,Peng Han,366.0,10.0,2.0,3.0,2.46,0.49,0.74,3.6900000000000004,Supporting Progressor
Switzerland Women's,Luana Bühler,244.0,10.0,0.0,0.0,3.69,0.0,0.0,3.69,Progressive Passer
Goa,Lalhmangaihsanga Ralte,122.0,5.0,0.0,0.0,3.69,0.0,0.0,3.69,Progressive Passer
New Zealand Women's,Katie Bowen,561.0,14.0,5.0,4.0,2.25,0.8,0.64,3.69,Supporting Progressor
Hungary,László Kleinheisler,292.0,3.0,5.0,4.0,0.92,1.54,1.23,3.69,Supporting Progressor
Athletic Club,Javier Martínez Aginaga,829.0,17.0,11.0,6.0,1.85,1.19,0.65,3.69,Limited Progression
