match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
22974,Chile Women's,7.0,2.0,7.0,16.0,12.5,43.75
22974,United States Women's,62.0,39.0,62.0,163.0,23.93,38.04
22980,France Women's,44.0,24.0,44.0,112.0,21.43,39.29
22980,Nigeria Women's,10.0,4.0,10.0,24.0,16.67,41.67
22981,Korea Republic Women's,48.0,31.0,48.0,127.0,24.41,37.8
22981,Norway Women's,8.0,6.0,8.0,22.0,27.27,36.36
22983,China PR Women's,17.0,7.0,17.0,41.0,17.07,41.46
22983,Spain Women's,58.0,36.0,58.0,152.0,23.68,38.16
22984,Germany Women's,48.0,30.0,48.0,126.0,23.81,38.1
22984,South Africa Women's,18.0,16.0,18.0,52.0,30.77,34.62
68311,Australia Women's,51.0,18.0,51.0,120.0,15.0,42.5
68311,Jamaica Women's,13.0,18.0,13.0,44.0,40.91,29.55
68312,Brazil Women's,24.0,16.0,24.0,64.0,25.0,37.5
68312,Italy Women's,15.0,9.0,15.0,39.0,23.08,38.46
68313,Barcelona,29.0,26.0,29.0,84.0,30.95,34.52
68313,Osasuna,16.0,13.0,16.0,45.0,28.89,35.56
68314,Barcelona,44.0,42.0,44.0,130.0,32.31,33.85
68314,Málaga,8.0,4.0,8.0,20.0,20.0,40.0
68315,Barcelona,35.0,32.0,35.0,102.0,31.37,34.31
68315,Levante UD,23.0,23.0,23.0,69.0,33.33,33.33
68316,Albacete,5.0,6.0,5.0,16.0,37.5,31.25
68316,Barcelona,62.0,54.0,62.0,178.0,30.34,34.83
68317,Barcelona,27.0,25.0,27.0,79.0,31.65,34.18
68317,Real Zaragoza,13.0,15.0,13.0,41.0,36.59,31.71
68318,Barcelona,35.0,38.0,35.0,108.0,35.19,32.41
68318,Osasuna,7.0,11.0,7.0,25.0,44.0,28.0
68319,Barcelona,31.0,40.0,31.0,102.0,39.22,30.39
68319,Real Madrid,24.0,19.0,24.0,67.0,28.36,35.82
68320,Barcelona,24.0,29.0,24.0,77.0,37.66,31.17
68320,Villarreal,22.0,9.0,22.0,53.0,16.98,41.51
68321,Barcelona,44.0,43.0,44.0,131.0,32.82,33.59
68321,Sevilla,11.0,9.0,11.0,31.0,29.03,35.48
68322,Barcelona,23.0,30.0,23.0,76.0,39.47,30.26
68322,Cádiz,25.0,12.0,25.0,62.0,19.35,40.32
68323,Barcelona,29.0,28.0,29.0,86.0,32.56,33.72
68323,Celta Vigo,17.0,14.0,17.0,48.0,29.17,35.42
68324,Barcelona,51.0,39.0,51.0,141.0,27.66,36.17
68324,Deportivo Alavés,12.0,6.0,12.0,30.0,20.0,40.0
68325,Barcelona,38.0,27.0,38.0,103.0,26.21,36.89
68325,Mallorca,22.0,8.0,22.0,52.0,15.38,42.31
68326,Barcelona,25.0,27.0,25.0,77.0,35.06,32.47
68326,Celta Vigo,18.0,13.0,18.0,49.0,26.53,36.73
68327,Barcelona,36.0,26.0,36.0,98.0,26.53,36.73
68327,Osasuna,16.0,8.0,16.0,40.0,20.0,40.0
68328,Barcelona,59.0,53.0,59.0,171.0,30.99,34.5
68328,Valencia,21.0,20.0,21.0,62.0,32.26,33.87
68329,Barcelona,23.0,20.0,23.0,66.0,30.3,34.85
68329,Sevilla,26.0,29.0,26.0,81.0,35.8,32.1
68330,Barcelona,29.0,23.0,29.0,81.0,28.4,35.8
68330,Real Madrid,21.0,29.0,21.0,71.0,40.85,29.58
68331,Barcelona,31.0,32.0,31.0,94.0,34.04,32.98
68331,Real Zaragoza,15.0,15.0,15.0,45.0,33.33,33.33
68332,Barcelona,35.0,33.0,35.0,103.0,32.04,33.98
68332,Valencia,13.0,16.0,13.0,42.0,38.1,30.95
68333,Athletic Club,21.0,22.0,21.0,64.0,34.38,32.81
68333,Barcelona,45.0,36.0,45.0,126.0,28.57,35.71
68334,Barcelona,24.0,25.0,24.0,73.0,34.25,32.88
68334,Sevilla,28.0,19.0,28.0,75.0,25.33,37.33
68335,Barcelona,40.0,28.0,40.0,108.0,25.93,37.04
68335,Real Madrid,26.0,25.0,26.0,77.0,32.47,33.77
68336,Barcelona,35.0,29.0,35.0,99.0,29.29,35.35
68336,Gimnàstic Tarragona,16.0,13.0,16.0,45.0,28.89,35.56
68337,England Women's,12.0,14.0,12.0,38.0,36.84,31.58
68337,Japan Women's,34.0,31.0,34.0,99.0,31.31,34.34
68338,Argentina Women's,17.0,16.0,17.0,50.0,32.0,34.0
