match_id,team,possession_pct,passes,total_passes,field_tilt_pct,tilt_differential,territorial_control,pass_efficiency_pct,verticality,final_third_passes,possession_quality_gap,gap_interpretation,possession_style
7490,NJ/NY Gotham FC,51.59,488,946.0,26.81,5.42,Contested,24.18,Balanced,118,-2.03,Balanced,Contested
7490,Portland Thorns,48.41,458,946.0,21.39,-5.42,Contested,21.18,Patient,97,5.63,Patient Build-up,Contested
7492,Orlando Pride,55.47,482,869.0,37.35,25.28,Total Dominance,35.27,Ultra-Vertical,170,-19.23,Ultra-Efficient,The Steamroller
7492,NJ/NY Gotham FC,44.53,387,869.0,12.07,-25.28,Pinned Back,11.37,Horizontal,44,20.39,Sterile Possession,Counter-Punchers
7493,OL Reign,55.23,512,927.0,22.51,4.08,Contested,20.9,Patient,107,10.21,Patient Build-up,Contested
7493,Washington Spirit,44.77,415,927.0,18.43,-4.08,Contested,14.46,Horizontal,60,7.91,Patient Build-up,Counter-Punchers
7494,Utah Royals,63.39,658,1038.0,20.9,-0.91,Contested,20.21,Patient,133,21.59,Sterile Possession,Contested
7494,Houston Dash,36.61,380,1038.0,21.81,0.91,Contested,20.79,Patient,79,-7.01,Direct & Efficient,Contested
7496,Utah Royals,54.15,457,844.0,28.8,3.66,Contested,28.45,Vertical,130,-3.45,Balanced,Contested
7496,Washington Spirit,45.85,387,844.0,25.14,-3.66,Contested,23.51,Balanced,91,-4.43,Balanced,Contested
7497,Chicago Red Stars,50.11,457,912.0,31.86,7.51,Contested,29.32,Vertical,134,-13.61,Direct & Efficient,Attacking
7497,North Carolina Courage,49.89,455,912.0,24.35,-7.51,Contested,22.64,Balanced,103,1.19,Balanced,Contested
7500,Portland Thorns,58.13,465,800.0,27.81,-12.36,Under Pressure,27.31,Balanced,127,2.51,Balanced,Contested
7500,Orlando Pride,41.88,335,800.0,40.17,12.36,Strong Control,37.61,Ultra-Vertical,126,-38.46,Ultra-Efficient,Efficiency Experts (Elite)
7519,Portland Thorns,54.96,410,746.0,28.44,3.01,Contested,25.85,Balanced,106,-1.92,Balanced,Contested
7519,North Carolina Courage,45.04,336,746.0,25.43,-3.01,Contested,21.43,Patient,72,-5.82,Direct & Efficient,Contested
7520,Washington Spirit,54.92,502,914.0,23.21,5.5,Contested,22.31,Balanced,112,8.5,Patient Build-up,Contested
7520,Chicago Red Stars,45.08,412,914.0,17.71,-5.5,Contested,16.99,Horizontal,70,9.66,Patient Build-up,Defensive
7521,Utah Royals,54.86,463,844.0,25.57,-3.67,Contested,24.41,Balanced,113,3.72,Balanced,Contested
7521,NJ/NY Gotham FC,45.14,381,844.0,29.24,3.67,Contested,27.3,Balanced,104,-13.34,Direct & Efficient,Contested
7522,North Carolina Courage,50.48,472,935.0,20.13,3.16,Contested,19.07,Patient,90,10.22,Patient Build-up,Contested
7522,Houston Dash,49.52,463,935.0,16.97,-3.16,Contested,15.77,Horizontal,73,15.58,Sterile Possession,Defensive
7523,OL Reign,53.1,514,968.0,21.71,-4.9,Contested,18.48,Patient,95,9.68,Patient Build-up,Contested
7523,Orlando Pride,46.9,454,968.0,26.61,4.9,Contested,23.35,Balanced,106,-6.32,Direct & Efficient,Contested
7524,Orlando Pride,62.89,578,919.0,31.51,13.48,Strong Control,30.45,Vertical,176,-0.13,Balanced,The Steamroller
7524,Houston Dash,37.11,341,919.0,18.03,-13.48,Under Pressure,13.78,Horizontal,47,1.05,Balanced,Counter-Punchers
7525,Saudi Arabia,59.58,572,960.0,17.69,-13.79,Under Pressure,18.36,Patient,105,24.2,Sterile Possession,The U-Shape (Sterile)
7525,Russia,40.42,388,960.0,31.48,13.79,Strong Control,29.9,Vertical,116,-22.54,Ultra-Efficient,Efficiency Experts (Elite)
7529,Croatia,54.2,503,928.0,21.67,2.86,Contested,21.27,Patient,107,10.86,Patient Build-up,Contested
7529,Nigeria,45.8,425,928.0,18.81,-2.86,Contested,16.24,Horizontal,69,8.18,Patient Build-up,Defensive
7530,France,55.29,549,993.0,26.83,12.31,Strong Control,25.87,Balanced,142,1.63,Balanced,Contested
7530,Australia,44.71,444,993.0,14.52,-12.31,Under Pressure,13.96,Horizontal,62,15.67,Sterile Possession,Counter-Punchers
7531,Argentina,78.04,796,1020.0,40.14,15.4,Total Dominance,39.32,Ultra-Vertical,313,-2.24,Balanced,The Steamroller
7531,Iceland,21.96,224,1020.0,24.74,-15.4,Pinned Back,24.11,Balanced,54,-27.52,Ultra-Efficient,Contested
7532,Peru,51.97,435,837.0,37.24,5.51,Contested,34.71,Vertical,151,-22.51,Ultra-Efficient,Attacking
7532,Denmark,48.03,402,837.0,31.73,-5.51,Contested,30.35,Vertical,122,-15.43,Ultra-Efficient,Attacking
7533,Brazil,54.79,555,1013.0,26.01,1.97,Contested,25.23,Balanced,140,2.77,Balanced,Contested
7533,Switzerland,45.21,458,1013.0,24.04,-1.97,Contested,22.71,Balanced,104,-2.87,Balanced,Contested
7534,Germany,65.64,619,943.0,49.71,23.06,Total Dominance,47.98,Ultra-Vertical,297,-33.78,Ultra-Efficient,The Steamroller
7534,Mexico,34.36,324,943.0,26.65,-23.06,Pinned Back,25.0,Balanced,81,-18.94,Ultra-Efficient,Contested
7535,Costa Rica,52.28,481,920.0,26.32,1.32,Contested,24.74,Balanced,119,-0.36,Balanced,Contested
7535,Serbia,47.72,439,920.0,25.0,-1.32,Contested,23.69,Balanced,104,-2.28,Balanced,Contested
7536,Belgium,62.63,610,974.0,25.46,-0.01,Contested,24.75,Balanced,151,11.71,Patient Build-up,Contested
7536,Panama,37.37,364,974.0,25.47,0.01,Contested,25.27,Balanced,92,-13.57,Direct & Efficient,Contested
7537,England,60.77,570,938.0,30.13,16.25,Total Dominance,28.07,Vertical,160,0.51,Balanced,The Steamroller
7537,Tunisia,39.23,368,938.0,13.88,-16.25,Pinned Back,12.23,Horizontal,45,11.47,Patient Build-up,Counter-Punchers
7538,Sweden,55.53,477,859.0,26.91,-1.14,Contested,26.83,Balanced,128,1.71,Balanced,Contested
7538,South Korea,44.47,382,859.0,28.05,1.14,Contested,29.32,Vertical,112,-11.63,Direct & Efficient,Contested
7539,Poland,60.5,585,967.0,18.86,-9.05,Under Pressure,19.15,Patient,112,22.78,Sterile Possession,The U-Shape (Sterile)
7539,Senegal,39.5,382,967.0,27.91,9.05,Strong Control,27.49,Balanced,105,-16.32,Ultra-Efficient,Contested
7540,Egypt,50.89,484,951.0,28.37,-9.81,Under Pressure,27.89,Balanced,135,-5.85,Direct & Efficient,Contested
7540,Russia,49.11,467,951.0,38.18,9.81,Strong Control,36.83,Ultra-Vertical,172,-27.25,Ultra-Efficient,Attacking
7541,Japan,59.89,630,1052.0,26.56,1.87,Contested,25.87,Balanced,163,6.77,Patient Build-up,Contested
7541,Colombia,40.11,422,1052.0,24.69,-1.87,Contested,22.04,Balanced,93,-9.27,Direct & Efficient,Contested
7542,Morocco,56.66,519,916.0,35.88,14.06,Strong Control,33.33,Vertical,173,-15.1,Ultra-Efficient,The Steamroller
7542,Portugal,43.34,397,916.0,21.82,-14.06,Under Pressure,20.15,Patient,80,-0.3,Balanced,Contested
7543,Spain,75.7,816,1078.0,39.53,19.62,Total Dominance,41.05,Ultra-Vertical,335,-3.36,Balanced,The Steamroller
7543,Iran,24.3,262,1078.0,19.91,-19.62,Pinned Back,19.08,Patient,50,-15.52,Ultra-Efficient,Counter-Punchers
7544,Saudi Arabia,53.33,584,1095.0,26.56,7.05,Contested,26.03,Balanced,152,0.21,Balanced,Contested
7544,Uruguay,46.67,511,1095.0,19.51,-7.05,Contested,20.35,Patient,104,7.65,Patient Build-up,Defensive
7545,Argentina,58.34,535,917.0,23.97,4.63,Contested,22.24,Balanced,119,10.4,Patient Build-up,Contested
7545,Croatia,41.66,382,917.0,19.34,-4.63,Contested,14.92,Horizontal,57,2.98,Balanced,Counter-Punchers
7546,Peru,55.75,548,983.0,26.08,-2.63,Contested,25.73,Balanced,141,3.59,Balanced,Contested
7546,France,44.25,435,983.0,28.71,2.63,Contested,26.67,Balanced,116,-13.17,Direct & Efficient,Contested
7547,Australia,52.72,533,1011.0,24.82,-0.75,Contested,22.89,Balanced,122,3.08,Balanced,Contested
7547,Denmark,47.28,478,1011.0,25.57,0.75,Contested,22.38,Balanced,107,-3.86,Balanced,Contested
7548,Brazil,71.84,750,1044.0,31.51,11.05,Strong Control,30.53,Vertical,229,8.82,Patient Build-up,The Steamroller
7548,Costa Rica,28.16,294,1044.0,20.46,-11.05,Under Pressure,17.69,Horizontal,52,-12.76,Direct & Efficient,Contested
7549,Nigeria,60.94,529,868.0,25.73,-9.07,Under Pressure,22.5,Balanced,119,9.48,Patient Build-up,Contested
7549,Iceland,39.06,339,868.0,34.8,9.07,Strong Control,33.33,Vertical,113,-30.54,Ultra-Efficient,Efficiency Experts (Elite)
7550,Switzerland,61.49,554,901.0,20.87,-10.38,Under Pressure,18.77,Patient,104,19.75,Sterile Possession,Contested
7550,Serbia,38.51,347,901.0,31.25,10.38,Strong Control,27.09,Balanced,94,-23.99,Ultra-Efficient,Efficiency Experts (Elite)
