match_id,team,shots,xg,avg_xg_per_shot,goals
7538,Sweden,16,2.01512447046116,0.126,1.0
7538,South Korea,5,0.4143720157444477,0.083,0.0
7539,Senegal,7,1.4284274419769645,0.204,1.0
7539,Poland,10,1.0423233807086945,0.104,1.0
7540,Egypt,15,1.6975182676687837,0.113,1.0
7540,Russia,12,0.9811508003622293,0.082,2.0
7541,Japan,14,2.3206739835441113,0.166,2.0
7541,Colombia,10,0.8062560334801674,0.081,1.0
7542,Morocco,17,1.4551028730347753,0.086,0.0
7542,Portugal,12,0.8849862474016845,0.074,1.0
7543,Spain,18,2.1969543709419668,0.122,1.0
7543,Iran,6,0.4264592360705137,0.071,0.0
7544,Uruguay,14,1.806805801577866,0.129,1.0
7544,Saudi Arabia,8,0.2734858342446387,0.034,0.0
7545,Croatia,14,1.8317100498825312,0.131,3.0
7545,Argentina,10,1.2180579276755452,0.122,0.0
7546,France,12,1.8633864549919963,0.155,1.0
7546,Peru,12,0.625221234979108,0.052,0.0
7547,Australia,13,1.4121919088065624,0.109,1.0
7547,Denmark,10,1.0144447702914476,0.101,1.0
7548,Brazil,23,3.0963628254830837,0.135,2.0
7548,Costa Rica,4,0.15869341231882572,0.04,0.0
7549,Iceland,10,1.5521619897335768,0.155,0.0
7549,Nigeria,17,1.3121593436226249,0.077,2.0
7550,Switzerland,19,1.5573086878284812,0.082,2.0
7550,Serbia,12,1.1534852720797062,0.096,1.0
7551,Germany,18,1.3180848183110356,0.073,2.0
7551,Sweden,7,0.8151666969060898,0.116,1.0
7552,Belgium,23,5.336422252468765,0.232,5.0
7552,Tunisia,17,1.188178087119013,0.07,2.0
7553,Mexico,14,1.877812845632434,0.134,2.0
7553,South Korea,17,0.8164225090295076,0.048,1.0
7554,England,11,3.168321058154106,0.288,6.0
7554,Panama,8,1.0800387505441904,0.135,1.0
7555,Colombia,13,1.386942747514695,0.107,3.0
7555,Poland,11,1.114197845570743,0.101,0.0
7556,Senegal,15,1.8782642944715917,0.125,2.0
7556,Japan,7,1.0125436037778854,0.145,2.0
7557,Iran,9,1.5769696114584804,0.175,1.0
7557,Portugal,15,1.5224178405478597,0.101,1.0
7558,Uruguay,16,2.482580956071615,0.155,2.0
7558,Russia,3,0.1801845319569111,0.06,0.0
7559,Saudi Arabia,21,2.5458155013620853,0.121,2.0
7559,Egypt,8,0.9237259346991777,0.115,1.0
7560,Spain,18,2.604493127204478,0.145,2.0
7560,Morocco,8,1.0717606702819467,0.134,2.0
7561,Iceland,17,2.1326869116164744,0.125,1.0
7561,Croatia,13,0.6739287944510579,0.052,2.0
7562,Australia,16,1.6553192809224129,0.103,0.0
7562,Peru,4,0.3363750954158604,0.084,2.0
7563,France,11,0.4181404961273074,0.038,0.0
7563,Denmark,5,0.13895808346569538,0.028,0.0
7564,Nigeria,9,1.305345194414258,0.145,1.0
7564,Argentina,8,0.8505598679184914,0.106,2.0
7565,Brazil,15,1.4202678464353085,0.095,2.0
7565,Serbia,11,0.9477916676551104,0.086,0.0
7566,Sweden,15,2.790486827492714,0.186,2.0
7566,Mexico,22,1.6107035190798342,0.073,0.0
7567,Germany,29,2.7089156238362193,0.093,0.0
7567,South Korea,12,1.7746302802115679,0.148,2.0
7568,Costa Rica,14,1.5762127004563808,0.113,1.0
7568,Switzerland,13,1.1964671229943633,0.092,2.0
7569,Tunisia,15,2.8524549938738346,0.19,2.0
7569,Panama,9,0.6907955878414214,0.077,0.0
7570,England,12,1.20068637188524,0.1,0.0
7570,Belgium,14,0.9653343185782433,0.069,1.0
7571,Senegal,7,0.35991006065160036,0.051,0.0
7571,Colombia,4,0.28486187011003494,0.071,1.0
7572,Poland,11,1.0407140534371138,0.095,1.0
7572,Japan,11,0.8823760724626482,0.08,0.0
7576,Spain,12,1.660946655087173,0.138,3.0
7576,Portugal,10,1.4345958032645285,0.143,3.0
7577,Morocco,14,1.059195025358349,0.076,0.0
7577,Iran,8,0.6975558795966208,0.087,0.0
7578,Uruguay,16,1.9408186171203852,0.121,1.0
7578,Egypt,8,0.36448844987899065,0.046,0.0
7579,Portugal,21,1.0208288938738406,0.049,1.0
7579,Uruguay,7,0.4760079365223646,0.068,2.0
7580,France,9,1.6380270458757877,0.182,4.0
7580,Argentina,12,1.4465594524517655,0.121,3.0
7581,Croatia,26,6.087735690176487,0.234,4.0
7581,Denmark,19,4.613994826562703,0.243,3.0
7582,Spain,29,5.358603224158287,0.185,3.0
7582,Russia,12,4.540426891297102,0.378,5.0
7583,Brazil,19,3.3204212989658117,0.175,2.0
