match_id,team,opponent_passes,defensive_actions,ppda
267101,Osasuna,708,19,37.26
267138,Barcelona,102,23,4.43
267138,Granada,579,26,22.27
267183,Barcelona,331,30,11.03
267183,Real Madrid,377,34,11.09
267192,Barcelona,314,23,13.65
267192,Celta Vigo,406,40,10.15
267197,Barcelona,163,17,9.59
267197,RC Deportivo La Coruña,821,21,39.1
267212,Barcelona,227,26,8.73
267212,Leganés,227,59,3.85
267220,Atlético Madrid,584,31,18.84
267220,Barcelona,191,38,5.03
267273,Barcelona,349,29,12.03
267273,Las Palmas,461,24,19.21
267274,Barcelona,183,36,5.08
267274,Valencia,565,43,13.14
267301,Barcelona,173,36,4.81
267301,Celta Vigo,461,52,8.87
267327,Barcelona,231,36,6.42
267327,Real Betis,409,32,12.78
267343,Barcelona,198,25,7.92
267343,Granada,327,39,8.38
267368,Barcelona,239,33,7.24
267368,Real Betis,467,50,9.34
267373,Barcelona,311,29,10.72
267373,Real Sociedad,359,42,8.55
267395,Barcelona,220,40,5.5
267395,Las Palmas,398,21,18.95
267400,Almería,548,22,24.91
267400,Barcelona,170,28,6.07
267422,Barcelona,144,20,7.2
267422,Málaga,556,43,12.93
267432,Barcelona,145,18,8.06
267432,Eibar,414,37,11.19
267464,Atlético Madrid,309,47,6.57
267464,Barcelona,232,28,8.29
267492,Barcelona,152,30,5.07
267492,RC Deportivo La Coruña,578,26,22.23
267499,Almería,478,33,14.48
267499,Barcelona,166,32,5.19
267502,Athletic Club,467,41,11.39
267502,Barcelona,269,46,5.85
267506,Barcelona,190,21,9.05
267506,Granada,415,32,12.97
267520,Barcelona,180,30,6.0
267520,Real Sociedad,662,26,25.46
267533,Barcelona,195,33,5.91
267533,Real Madrid,560,26,21.54
267561,Barcelona,205,34,6.03
267561,Rayo Vallecano,359,31,11.58
267567,Athletic Club,353,42,8.4
267567,Barcelona,304,27,11.26
267569,Barcelona,308,22,14.0
267569,Real Madrid,356,28,12.71
267576,Atlético Madrid,504,49,10.29
267576,Barcelona,232,20,11.6
267590,Barcelona,168,42,4.0
267590,Málaga,505,34,14.85
267596,Barcelona,177,27,6.56
267596,Leganés,592,34,17.41
267597,Barcelona,195,28,6.96
267597,Villarreal,627,35,17.91
267611,Barcelona,207,31,6.68
267611,Las Palmas,426,34,12.53
267660,Barcelona,179,24,7.46
267660,RC Deportivo La Coruña,585,17,34.41
267670,Barcelona,162,30,5.4
267670,Real Betis,601,18,33.39
267675,Barcelona,271,20,13.55
267675,Sevilla,443,41,10.8
303377,Barcelona,168,22,7.64
303377,Getafe,377,66,5.71
303400,Barcelona,151,24,6.29
303400,Valencia,704,22,32.0
303421,Barcelona,218,28,7.79
303421,Deportivo Alavés,551,26,21.19
303430,Barcelona,319,21,15.19
303430,Villarreal,476,23,20.7
303451,Barcelona,209,31,6.74
303451,Mallorca,586,19,30.84
303470,Barcelona,365,24,15.21
303470,Real Madrid,470,25,18.8
303473,Barcelona,300,20,15.0
303473,Sevilla,373,24,15.54
303479,Barcelona,264,30,8.8
303479,Real Sociedad,335,21,15.95
303487,Barcelona,253,24,10.54
303487,Celta Vigo,503,22,22.86
303493,Athletic Club,570,39,14.62
303493,Barcelona,185,24,7.71
303504,Barcelona,249,21,11.86
303504,Levante UD,449,22,20.41
303516,Barcelona,187,30,6.23
303516,Celta Vigo,499,34,14.68
303517,Barcelona,191,29,6.59
303517,Deportivo Alavés,614,25,24.56
303524,Atlético Madrid,535,34,15.74
303524,Barcelona,235,22,10.68
303532,Barcelona,165,30,5.5
303532,Leganés,686,26,26.38
