player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Moritz Jenz,Wolfsburg,21,13.0,0.62,11.0,0.91
Jurriën David Norman Timber,Netherlands,92,57.0,0.62,47.0,0.91
Rachel Rowe,Wales,13,8.0,0.62,6.0,0.83
Fabian Lukas Schär,Switzerland,318,198.0,0.62,144.0,1.24
José Adoni Cifuentes Charcopa,Ecuador,13,8.0,0.62,4.0,0.75
Waldemar Anton,VfB Stuttgart,47,29.0,0.62,23.0,0.74
Dejan Kulusevski,Sweden,13,8.0,0.62,4.0,0.75
Ehsan Hajsafi,Iran,69,43.0,0.62,29.0,0.9
José Diogo Dalot Teixeira,Portugal,106,66.0,0.62,39.0,1.21
Marvin Schwäbe,FC Köln,34,21.0,0.62,26.0,0.73
Jure Balkovec,Slovenia,13,8.0,0.62,7.0,1.14
Abdülkerim Bardakcı,Turkey,67,41.0,0.61,35.0,0.91
Young-Ju Lee,Korea Republic Women's,18,11.0,0.61,7.0,1.43
Mateo Kovačić,Croatia,414,254.0,0.61,138.0,1.02
Thomas Müller,Germany,164,100.0,0.61,51.0,0.96
Louise Quinn,Republic of Ireland Women's,18,11.0,0.61,7.0,1.14
Alejandro Balde Martínez,Spain,33,20.0,0.61,6.0,0.83
Janis Blaswich,RB Leipzig,36,22.0,0.61,24.0,0.88
Katie Bowen,New Zealand Women's,137,84.0,0.61,63.0,1.22
Kiliann Sildillia,Freiburg,33,20.0,0.61,13.0,0.92
Hannah Hampton,England Women's,102,62.0,0.61,78.0,0.78
Rúben Santos Gato Alves Dias,Portugal,272,166.0,0.61,153.0,0.88
Marvin Pieringer,FC Heidenheim,5,3.0,0.6,3.0,0.67
Fridolina Rolfö,Sweden Women's,238,142.0,0.6,90.0,1.04
Patrick Mainka,FC Heidenheim,30,18.0,0.6,20.0,0.7
Cristian Gamboa Luna,Bochum,15,9.0,0.6,4.0,1.0
Benno Schmitz,FC Köln,5,3.0,0.6,1.0,1.0
Riley McGree,Australia,25,15.0,0.6,7.0,1.0
Rebecca Mckenna,Northern Ireland,5,3.0,0.6,2.0,1.0
Giorgi Gvelesiani,Georgia,5,3.0,0.6,2.0,0.5
Anssumane Fati,Spain,10,6.0,0.6,1.0,2.0
Gloriana Jesus Villalobos Vega,Costa Rica Women's,10,6.0,0.6,3.0,1.0
Katharina Schiechtl,Austria Women's,10,6.0,0.6,3.0,0.67
Marta Cardona De Miguel,Spain Women's,10,6.0,0.6,2.0,1.5
Sebastiaan Bornauw,Wolfsburg,10,6.0,0.6,5.0,1.0
Andrey Semenov,Russia,10,6.0,0.6,4.0,1.25
Tim Siersleben,FC Heidenheim,15,9.0,0.6,7.0,1.0
Martin Dúbravka,Slovakia,100,60.0,0.6,77.0,0.75
Rifat Zhemaletdinov,Russia,5,3.0,0.6,2.0,1.0
Vitalii Mykolenko,Ukraine,73,44.0,0.6,14.0,1.14
Borna Sosa,Croatia,83,50.0,0.6,33.0,1.0
Rey Manaj,Albania,5,3.0,0.6,1.0,1.0
Riley Tanner Rintala,Panama Women's,5,3.0,0.6,3.0,0.67
Davide Frattesi,Italy,15,9.0,0.6,5.0,0.8
Synne Jensen,Norway Women's,5,3.0,0.6,1.0,1.0
Jakub Kamiński,Poland,15,9.0,0.6,6.0,1.0
Agnes Beever-Jones,England Women's,5,3.0,0.6,2.0,1.0
David Jurásek,Hoffenheim,15,9.0,0.6,9.0,0.67
Willian Joel Pacho Tenorio,Eintracht Frankfurt,42,25.0,0.6,22.0,1.05
Jonna Ann-Charlotte Andersson,Sweden Women's,273,163.0,0.6,107.0,1.07
Michelle Alozie,Nigeria Women's,46,27.0,0.59,21.0,1.0
Noah Atubolu,Freiburg,32,19.0,0.59,24.0,0.71
Maëlle Lakrar,France Women's,74,44.0,0.59,40.0,0.85
Mengwen Li,China PR Women's,39,23.0,0.59,14.0,1.21
Amber Tysiak,Belgium Women's,37,22.0,0.59,20.0,0.85
Jesper Lindstrøm,Denmark,17,10.0,0.59,4.0,0.75
Jonas Föhrenbach,FC Heidenheim,32,19.0,0.59,16.0,0.88
Iago Amaral Borduchi,Augsburg,22,13.0,0.59,7.0,0.86
Ariadina Alves Borges,Brazil Women's,27,16.0,0.59,12.0,0.92
Granit Xhaka,Switzerland,650,385.0,0.59,279.0,0.94
Caitlin Dijkstra,Netherlands Women's,22,13.0,0.59,13.0,0.69
Laia Codina Panedas,Spain Women's,64,38.0,0.59,40.0,0.83
Jun Endo,Japan Women's,142,84.0,0.59,52.0,1.1
Kathrin Julia Hendrich,Germany Women's,262,155.0,0.59,122.0,1.02
Barış Alper Yılmaz,Turkey,37,22.0,0.59,10.0,1.4
Signe Gaupset,Norway Women's,45,26.0,0.58,8.0,1.38
Sergej Milinković-Savić,Serbia,155,90.0,0.58,63.0,1.0
Luis Gerardo Chávez Magallón,Mexico,149,87.0,0.58,54.0,1.44
Luka Modrić,Croatia,813,468.0,0.58,362.0,0.88
Julieta Micaela Cruz Navarrete,Argentina Women's,19,11.0,0.58,7.0,0.86
Marcus Andreas Danielsson,Sweden,43,25.0,0.58,16.0,0.81
Ann-Katrin Berger,Germany Women's,108,63.0,0.58,87.0,0.67
Alejandro Darío Gómez,Argentina,26,15.0,0.58,5.0,1.4
Marcel Sabitzer,Borussia Dortmund,12,7.0,0.58,7.0,0.71
Nuno Mendes,Portugal,124,72.0,0.58,61.0,0.93
Stina Olivia Lennartsson,Sweden Women's,12,7.0,0.58,6.0,1.0
Seyed Majid Hosseini,Iran,60,35.0,0.58,30.0,0.87
Emilie Marie Woldvik,Norway Women's,24,14.0,0.58,8.0,1.0
Kevin Müller,FC Heidenheim,31,18.0,0.58,21.0,0.76
Ajdin Hrustic,Australia,7,4.0,0.57,2.0,0.5
Lily Woodham,Wales,30,17.0,0.57,13.0,0.85
Tim Breithaupt,Augsburg,7,4.0,0.57,3.0,1.0
Youstin Delfin Salas Gómez,Costa Rica,7,4.0,0.57,4.0,0.75
Nicky Evrard,Belgium Women's,76,43.0,0.57,54.0,0.78
Roselord Borgella,Haiti Women's,7,4.0,0.57,0.0,
Rasmus Nissen Kristensen,Denmark,61,35.0,0.57,28.0,0.86
Haji Wright,United States,7,4.0,0.57,2.0,0.5
Riyadh Sharahili,Saudi Arabia,7,4.0,0.57,2.0,1.0
Elli Pikkujämsä,WNT Finland,49,28.0,0.57,16.0,1.31
Robin Koch,Eintracht Frankfurt,23,13.0,0.57,9.0,0.89
Guro Reiten,Norway Women's,201,115.0,0.57,86.0,1.0
David Strelec,Slovakia,7,4.0,0.57,1.0,0.0
Gemma Evans,Wales,21,12.0,0.57,8.0,0.63
Sarah Kassi,Morocco Women's,14,8.0,0.57,9.0,0.56
Tim Oermann,Bochum,9,5.0,0.56,5.0,0.6
Tomáš Kalas,Czech Republic,52,29.0,0.56,32.0,0.75
Kenan Karaman,Turkey,9,5.0,0.56,2.0,1.0
Aldana Cometti,Argentina Women's,72,40.0,0.56,41.0,0.9
Linda Maserame Motlhalo,South Africa Women's,34,19.0,0.56,9.0,1.11
Agla María Albertsdóttir,Iceland Women's,18,10.0,0.56,7.0,1.29
Ederson Santana de Moraes,Brazil,16,9.0,0.56,13.0,0.69
Hyo-Joo Choo,Korea Republic Women's,18,10.0,0.56,7.0,1.0
Saad Abdullah Al Sheeb,Qatar,9,5.0,0.56,6.0,0.83
Jana Fernandez Velasco,Spain Women's,27,15.0,0.56,8.0,0.75
Manuel Obafemi Akanji,Switzerland,584,325.0,0.56,287.0,0.87
Julia Zigiotti-Olme,Sweden Women's,98,55.0,0.56,30.0,1.13
Hilary Stacy Jaén Rodríguez,Panama Women's,16,9.0,0.56,10.0,0.6
Hannah Eurlings,Belgium Women's,18,10.0,0.56,3.0,1.33
Jakub Hromada,Slovakia,9,5.0,0.56,3.0,1.0
Yunus Dimoara Musah,United States,93,52.0,0.56,30.0,1.07
Eric Junior Dina Ebimbe,Eintracht Frankfurt,9,5.0,0.56,2.0,0.5
Caroline Graham Hansen,Norway Women's,200,113.0,0.56,71.0,0.89
María Paula Salas,Costa Rica Women's,9,5.0,0.56,1.0,1.0
Felix Agu,Werder Bremen,18,10.0,0.56,5.0,1.2
Esther Morgan,Wales,18,10.0,0.56,7.0,1.0
Zecira Musovic,Sweden Women's,52,29.0,0.56,47.0,0.62
Srđan Mijailović,Serbia,9,5.0,0.56,3.0,1.0
Piero Martín Hincapié Reyna,Bayer Leverkusen,443,246.0,0.56,165.0,0.84
Abdul Rahman Baba,Ghana,32,18.0,0.56,14.0,0.71
Ernesto Alexis Vega Rojas,Mexico,38,21.0,0.55,9.0,1.33
Rafael Tolói,Italy,31,17.0,0.55,15.0,0.93
Mehdi Taremi,Iran,51,28.0,0.55,11.0,1.0
Filip Mladenović,Serbia,31,17.0,0.55,6.0,1.0
Marco Asensio Willemsen,Spain,92,51.0,0.55,20.0,1.45
Ondrej Celustka,Czech Republic,55,30.0,0.55,28.0,0.75
Sarina Isabel Calpo Bolden,Philippines Women's,11,6.0,0.55,1.0,1.0
Gregor Kobel,Borussia Dortmund,40,22.0,0.55,27.0,0.74
Felix Uduokhai,Augsburg,20,11.0,0.55,9.0,1.0
Gunnhildur Yrsa Jónsdóttir,Iceland Women's,11,6.0,0.55,4.0,0.5
Matty Cash,Poland,42,23.0,0.55,16.0,1.13
Martin Braithwaite Christensen,Denmark,100,55.0,0.55,17.0,1.12
Josip Stanišić,Croatia,65,36.0,0.55,21.0,1.29
Achraf Dari,Morocco,37,20.0,0.54,22.0,0.64
Aymen Dahmen,Tunisia,28,15.0,0.54,17.0,0.88
Peter Pekarík,Slovakia,96,52.0,0.54,30.0,1.0
Millie Bright,England Women's,509,273.0,0.54,264.0,0.97
Ricardo Iván Rodríguez Araya,Switzerland,421,229.0,0.54,165.0,1.1
Jules Koundé,France,239,129.0,0.54,86.0,0.98
Milos Veljkovic,Werder Bremen,57,31.0,0.54,17.0,1.35
Bernardo Mota Veiga de Carvalho e Silva,Portugal,330,178.0,0.54,93.0,0.91
Gaëlle Thalmann,Switzerland Women's,105,57.0,0.54,64.0,0.83
Paweł Dawidowicz,Poland,24,13.0,0.54,13.0,1.0
Maxence Lacroix,Wolfsburg,26,14.0,0.54,13.0,0.77
Rachel Daly,England Women's,304,160.0,0.53,87.0,1.13
Gabriel Teodoro Martinelli Silva,Brazil,32,17.0,0.53,11.0,0.91
Marin Pongracic,Croatia,47,25.0,0.53,15.0,1.0
Olivier Deman,Werder Bremen,17,9.0,0.53,3.0,1.33
Delphine Cascarino,France Women's,146,77.0,0.53,45.0,0.96
Meshaal Aissa Barsham,Qatar,32,17.0,0.53,16.0,1.06
Hải Yến Phạm,Vietnam Women's,15,8.0,0.53,4.0,1.0
Mert Müldür,Turkey,79,42.0,0.53,24.0,0.79
Theo Bernard François Hernández,France,261,139.0,0.53,78.0,1.12
Thorgan Hazard,Belgium,171,91.0,0.53,45.0,1.02
Sheika Daleicha Scott Richardson,Costa Rica Women's,17,9.0,0.53,3.0,1.0
Merih Demiral,Turkey,51,27.0,0.53,17.0,1.06
Jacqueline Burns,Northern Ireland,51,27.0,0.53,44.0,0.55
Manuel Gulde,Freiburg,17,9.0,0.53,11.0,0.64
Yui Hasegawa,Japan Women's,174,93.0,0.53,53.0,1.13
Mathilde Hauge Harviken,Norway Women's,90,48.0,0.53,37.0,0.97
Geyse da Silva Ferreira,Brazil Women's,15,8.0,0.53,10.0,0.6
Bethany Mead,England Women's,183,96.0,0.52,55.0,1.22
Kevin De Bruyne,Belgium,483,252.0,0.52,213.0,0.8
Alidu Seidu,Ghana,27,14.0,0.52,11.0,0.73
Dušan Tadić,Serbia,122,64.0,0.52,58.0,0.78
Mohammed Kudus,Ghana,71,37.0,0.52,19.0,1.11
Weston McKennie,United States,120,62.0,0.52,52.0,0.79
Pedro Miguel Correia,Qatar,33,17.0,0.52,11.0,1.0
Kinga Szemik,Poland Women's,58,30.0,0.52,36.0,0.75
María Pilar León Cebrián,Spain Women's,324,164.0,0.51,165.0,0.82
Chantelle Swaby,Jamaica Women's,69,35.0,0.51,30.0,1.03
Elena Linari,Italy Women's,327,167.0,0.51,199.0,0.71
Tyler Adams,United States,152,77.0,0.51,68.0,0.76
Andrej Kramarić,Croatia,221,112.0,0.51,43.0,1.05
Aleksey Miranchuk,Russia,37,19.0,0.51,9.0,1.44
Lea Schüller,Germany Women's,55,28.0,0.51,10.0,1.2
Vilde Bøe Risa,Norway Women's,317,162.0,0.51,128.0,0.95
Aleksandar Mitrović,Serbia,75,38.0,0.51,15.0,0.8
Martyna Wiankowska,Poland Women's,35,18.0,0.51,17.0,0.53
Eve Perisset,France Women's,256,130.0,0.51,95.0,0.94
Olivia Alma Charlotta Schough,Sweden Women's,41,21.0,0.51,11.0,1.27
Sergio Busquets i Burgos,Spain,513,261.0,0.51,165.0,1.05
Eren Sami Dinkçi,FC Heidenheim,10,5.0,0.5,4.0,0.75
Taulant Sulejmanov,Albania,6,3.0,0.5,2.0,1.0
Thị Hải Linh Trần,Vietnam Women's,8,4.0,0.5,2.0,0.5
Celin Bizet Ildhusøy,Norway Women's,20,10.0,0.5,4.0,1.0
Marc Cucurella Saseta,Spain,115,57.0,0.5,33.0,1.03
Matthias Ginter,Freiburg,20,10.0,0.5,12.0,0.67
Boban Nikolov,North Macedonia,8,4.0,0.5,3.0,1.0
Hwa-Yeon Son,Korea Republic Women's,6,3.0,0.5,1.0,0.0
Joel Nathaniel Campbell Samuels,Costa Rica,126,63.0,0.5,30.0,1.37
Alex Nicolao Telles,Brazil,16,8.0,0.5,6.0,0.67
Lou Bogaert,France Women's,10,5.0,0.5,5.0,0.6
Loïc Négo,Hungary,28,14.0,0.5,14.0,0.64
Agness Musase,Zambia Women's,14,7.0,0.5,8.0,0.75
Srđan Babić,Serbia,6,3.0,0.5,1.0,0.0
Safia Middleton-Patel,Wales,10,5.0,0.5,9.0,0.56
Mohamed Dräger,Tunisia,18,9.0,0.5,6.0,1.0
Unai Simón Mendibil,Spain,247,123.0,0.5,177.0,0.68
Michael Gregoritsch,Austria,20,10.0,0.5,6.0,0.83
Andreas Evald Cornelius,Denmark,32,16.0,0.5,5.0,1.2
Anatolii Trubin,Ukraine,18,9.0,0.5,14.0,0.64
Julie Blakstad,Norway Women's,52,26.0,0.5,11.0,1.09
Danilo Teodoro Soares,Bochum,6,3.0,0.5,0.0,
Ezri Konsa Ngoyo,England,12,6.0,0.5,3.0,0.67
Christian Fassnacht,Switzerland,8,4.0,0.5,3.0,0.67
William Saliba,France,108,54.0,0.5,40.0,0.85
Duje Ćaleta-Car,Croatia,54,27.0,0.5,28.0,0.79
Osman Bukari,Ghana,8,4.0,0.5,2.0,0.5
Yukhym Konoplya,Ukraine,16,8.0,0.5,3.0,0.67
Sergino Dest,United States,77,38.0,0.49,20.0,1.0
Kye Rowles,Australia,47,23.0,0.49,24.0,0.88
Kadidiatou Diani,France Women's,170,84.0,0.49,46.0,0.91
Stole Dimitrievski,North Macedonia,49,24.0,0.49,40.0,0.6
Hayley Emma Raso,Australia Women's,69,34.0,0.49,21.0,0.38
Matteo Darmian,Italy,37,18.0,0.49,14.0,1.0
Pathé Ismaël Ciss,Senegal,51,25.0,0.49,22.0,0.64
Niklas Süle,Germany,168,81.0,0.48,85.0,0.71
Mackenzie Arnold,Australia Women's,83,40.0,0.48,69.0,0.57
Lucas Silva Melo,Eintracht Frankfurt,40,19.0,0.48,13.0,0.92
Young-Gwon Kim,South Korea,139,67.0,0.48,86.0,0.67
Lukáš Hrádecký,Bayer Leverkusen,379,183.0,0.48,282.0,0.62
Lionel Andrés Messi Cuccittini,Argentina,473,229.0,0.48,188.0,0.85
Mohammed Khalil Al Owais,Saudi Arabia,54,26.0,0.48,35.0,0.74
Péter Gulácsi,Hungary,86,41.0,0.48,47.0,0.85
Jonas Omlin,Borussia Mönchengladbach,21,10.0,0.48,9.0,1.11
Haris Seferović,Switzerland,40,19.0,0.48,10.0,0.9
Guðný Árnadóttir,Iceland Women's,21,10.0,0.48,14.0,0.57
Hye-Ri Kim,Korea Republic Women's,102,49.0,0.48,44.0,1.05
Emmi Alanen,WNT Finland,51,24.0,0.47,13.0,1.0
Ruthny Mathurin,Haiti Women's,15,7.0,0.47,9.0,0.78
Kieran Trippier,England,525,247.0,0.47,154.0,1.14
Elseid Hysaj,Albania,19,9.0,0.47,7.0,0.57
Presnel Kimpembe,France,133,63.0,0.47,66.0,0.76
Grant Campbell Hanley,Scotland,30,14.0,0.47,7.0,0.86
Melvine Malard,France Women's,58,27.0,0.47,15.0,0.93
Tomáš Vaclík,Czech Republic,57,27.0,0.47,48.0,0.54
Junya Ito,Japan,30,14.0,0.47,9.0,0.78
Ivan Perišić,Croatia,278,132.0,0.47,76.0,1.01
Boulaye Dia,Senegal,17,8.0,0.47,2.0,1.0
Marcelo Brozović,Croatia,610,285.0,0.47,212.0,0.75
Kyung-Won Kwon,South Korea,15,7.0,0.47,5.0,0.8
Kléper Laveran Lima Ferreira,Portugal,380,178.0,0.47,204.0,0.66
Mats Hummels,Germany,212,99.0,0.47,114.0,0.69
Tim Drexler,Hoffenheim,15,7.0,0.47,8.0,0.5
Gonçalo Bernardo Inácio,Portugal,39,18.0,0.46,15.0,0.8
Jawad El Yamiq,Morocco,39,18.0,0.46,18.0,0.83
Charlotte Bilbault,France Women's,106,49.0,0.46,35.0,0.89
Vanja Milinković Savić,Serbia,48,22.0,0.46,33.0,0.67
Sherida Spitse,Netherlands Women's,613,283.0,0.46,235.0,0.89
Daphne van Domselaar,Netherlands Women's,170,79.0,0.46,126.0,0.6
Kosovare Asllani,Sweden Women's,319,147.0,0.46,126.0,0.81
Lieke Martens,Netherlands Women's,276,126.0,0.46,68.0,0.97
Thomas Delaney,Denmark,243,112.0,0.46,79.0,0.89
Iñaki Williams Arthuer,Ghana,31,14.0,0.45,4.0,1.25
Kholosa Biyana,South Africa Women's,102,46.0,0.45,44.0,0.89
Ermedin Demirović,Augsburg,11,5.0,0.45,5.0,0.6
Saman Ghoddos,Iran,11,5.0,0.45,4.0,0.75
Timothy Weah,United States,60,27.0,0.45,17.0,0.94
Catalina Thomas Coll Lluch,Spain Women's,101,45.0,0.45,85.0,0.52
Axel Disasi,France,20,9.0,0.45,6.0,1.17
Cecilía Rán Rúnarsdóttir,Iceland Women's,55,25.0,0.45,38.0,0.58
Visar Musliu,North Macedonia,20,9.0,0.45,6.0,0.5
Alexander Nübel,VfB Stuttgart,55,25.0,0.45,37.0,0.62
Emma Stina Blackstenius,Sweden Women's,142,62.0,0.44,17.0,1.06
Magdalena Lilly Eriksson,Sweden Women's,451,197.0,0.44,225.0,0.77
Florian Pick,FC Heidenheim,9,4.0,0.44,2.0,1.0
Dominik Livaković,Croatia,216,94.0,0.44,130.0,0.7
Jindřich Staněk,Czech Republic,25,11.0,0.44,19.0,0.58
Sadegh Moharrami,Iran,9,4.0,0.44,1.0,2.0
Lennard Maloney,FC Heidenheim,16,7.0,0.44,3.0,0.67
Chul Hong,South Korea,27,12.0,0.44,11.0,1.09
Róbert Boženík,Slovakia,9,4.0,0.44,1.0,0.0
Rebekah Ashley Stott,New Zealand Women's,112,49.0,0.44,53.0,0.77
Enzo Fernandez,Argentina,348,149.0,0.43,115.0,0.83
Kelsie Burrows,Northern Ireland,7,3.0,0.43,3.0,0.67
Aleksandr Golovin,Russia,145,63.0,0.43,40.0,1.0
Gleison Bremer Silva Nascimento,Brazil,23,10.0,0.43,9.0,0.89
Danny Vieira da Costa,FSV Mainz 05,7,3.0,0.43,2.0,1.5
Cameron Carter-Vickers,United States,14,6.0,0.43,6.0,1.0
Alex Sandro Lobo Silva,Brazil,58,25.0,0.43,23.0,0.65
Yu Zhu,China PR Women's,14,6.0,0.43,11.0,0.55
Bartosz Bereszyński,Poland,200,85.0,0.43,86.0,0.73
Xherdan Shaqiri,Switzerland,244,105.0,0.43,80.0,0.89
Kamal Miller,Canada,87,37.0,0.43,52.0,0.54
Wayne Hennessey,Wales,35,15.0,0.43,24.0,0.63
Ko Itakura,Borussia Mönchengladbach,14,6.0,0.43,4.0,1.0
Pyry Henri Hidipo Soiri,Finland,7,3.0,0.43,2.0,0.5
Annamaria Serturini,Italy Women's,7,3.0,0.43,3.0,1.0
Yuki Soma,Japan,7,3.0,0.43,3.0,1.0
Moeka Minami,Japan Women's,201,86.0,0.43,102.0,0.72
Svenja Huth,Germany Women's,288,123.0,0.43,91.0,0.76
Gianluca Mancini,Italy,14,6.0,0.43,4.0,0.75
Eunice Sakala,Zambia Women's,7,3.0,0.43,6.0,0.5
Andreas Christensen,Denmark,358,150.0,0.42,148.0,0.7
Yenith Elizabett Bailey de la Cruz,Panama Women's,33,14.0,0.42,19.0,0.68
Catalina Pérez Jaramillo,Colombia Women's,36,15.0,0.42,29.0,0.52
Valentina Bergamaschi,Italy Women's,91,38.0,0.42,33.0,0.67
John Stones,England,846,357.0,0.42,387.0,0.73
Kasper Schmeichel,Denmark,230,97.0,0.42,193.0,0.49
Andreas Ulmer,Austria,19,8.0,0.42,4.0,1.0
Carlos Alberto Rodríguez Gómez,Mexico,31,13.0,0.42,8.0,1.13
João Filipe Iria Santos Moutinho,Portugal,108,45.0,0.42,45.0,0.84
Joakim Mæhle,Wolfsburg,12,5.0,0.42,1.0,0.0
Veerle Buurman,Netherlands Women's,33,14.0,0.42,17.0,0.59
Inês Teixeira Pereira,Portugal Women's,39,16.0,0.41,22.0,0.73
Eliana Noemí Stábile,Argentina Women's,126,52.0,0.41,65.0,0.66
Lukas Klostermann,Germany,17,7.0,0.41,7.0,0.29
Ramin Rezaeian,Iran,90,37.0,0.41,52.0,0.6
Yahia Attiyat allah,Morocco,99,41.0,0.41,38.0,0.89
Jennifer Miley Falk,Sweden Women's,63,26.0,0.41,50.0,0.5
Jennifer Hermoso Fuentes,Spain Women's,318,130.0,0.41,101.0,0.73
Hakim Ziyech,Morocco,280,115.0,0.41,94.0,0.71
Uğurcan Çakır,Turkey,54,22.0,0.41,32.0,0.69
Leila Ouahabi El Ouahabi,Spain Women's,181,74.0,0.41,58.0,0.81
Karl Brillant Toko Ekambi,Cameroon,69,28.0,0.41,15.0,0.93
Angharad James,Wales,22,9.0,0.41,8.0,0.5
Tim Ream,United States,186,77.0,0.41,85.0,0.76
Alexandra Popp,Germany Women's,165,67.0,0.41,61.0,0.59
Agustín Canobbio Graviz,Uruguay,5,2.0,0.4,3.0,0.67
Enner Remberto Valencia Lastra,Ecuador,30,12.0,0.4,10.0,0.4
Robert Lewandowski,Poland,121,49.0,0.4,29.0,0.9
Dominique Johanna Anna Petrone Janssen,Netherlands Women's,565,227.0,0.4,293.0,0.61
Leandro Daniel Paredes,Argentina,212,85.0,0.4,77.0,0.82
Aymen Barkok,FSV Mainz 05,5,2.0,0.4,1.0,1.0
Kevin Mbabu,Augsburg,5,2.0,0.4,3.0,0.67
Lucy Bronze,England Women's,880,350.0,0.4,354.0,0.69
Koen Casteels,Belgium,53,21.0,0.4,29.0,0.66
Angelo Smit Preciado Quiñónez,Ecuador,144,58.0,0.4,53.0,0.89
Lucas Tolentino Coelho de Lima,Brazil,182,73.0,0.4,60.0,0.73
Mike Maignan,France,70,28.0,0.4,46.0,0.61
Pavel Kadeřábek,Czech Republic,15,6.0,0.4,5.0,1.0
Christian Pulisic,United States,99,40.0,0.4,37.0,0.76
Leonidas Stergiou,Switzerland,5,2.0,0.4,3.0,0.67
Martin Ádám,Hungary,5,2.0,0.4,1.0,1.0
Jorge Resurrección Merodio,Spain,395,159.0,0.4,113.0,0.81
Kyle Walker,England,695,276.0,0.4,262.0,0.75
Yann Sommer,Switzerland,286,113.0,0.4,182.0,0.58
Artem Dovbyk,Ukraine,15,6.0,0.4,1.0,1.0
So-Yun Ji,Korea Republic Women's,203,82.0,0.4,68.0,0.94
Ingrid Syrstad Engen,Norway Women's,331,131.0,0.4,117.0,0.72
Sara Gedsted Thrige Andersen,Denmark Women's,10,4.0,0.4,4.0,1.0
Chris Gunter,Wales,5,2.0,0.4,3.0,0.67
Pavel Šulc,Czech Republic,5,2.0,0.4,0.0,
Stephanie van der Gragt,Netherlands Women's,389,150.0,0.39,176.0,0.76
Edimilson Fernandes,Switzerland,31,12.0,0.39,8.0,0.25
Raheem Sterling,England,170,67.0,0.39,41.0,0.88
Cristiano Ronaldo dos Santos Aveiro,Portugal,183,71.0,0.39,42.0,0.74
Emerson Palmieri dos Santos,Italy,38,15.0,0.39,7.0,1.14
Raúl Alonso Jiménez Rodríguez,Mexico,18,7.0,0.39,8.0,0.88
Rafael Santos Borré Amaury,Werder Bremen,8,3.0,0.38,1.0,1.0
Matúš Bero,Slovakia,13,5.0,0.38,2.0,1.0
Manuel Neuer,Germany,232,87.0,0.38,173.0,0.47
Milad Mohammadi,Iran,26,10.0,0.38,11.0,0.64
Carlos Manuel Martínez Castro,Costa Rica,8,3.0,0.38,2.0,0.5
Filip Kostić,Serbia,64,24.0,0.38,25.0,0.76
Victoria Esson,New Zealand Women's,29,11.0,0.38,24.0,0.46
Guido Rodríguez,Argentina,40,15.0,0.38,14.0,0.79
Victor Nilsson Lindelöf,Sweden,170,65.0,0.38,91.0,0.53
Flavia Lorena Benítez,Argentina Women's,91,35.0,0.38,31.0,0.61
Brenden Aaronson,Union Berlin,8,3.0,0.38,2.0,0.5
Mario Gavranović,Switzerland,21,8.0,0.38,5.0,0.4
Konrad Laimer,Bayern Munich,13,5.0,0.38,4.0,0.5
Tajon Buchanan,Canada,39,15.0,0.38,20.0,0.65
Elin Ingrid Johanna Rubensson,Sweden Women's,214,81.0,0.38,71.0,0.59
Joshua Sargent,United States,13,5.0,0.38,2.0,0.5
Romelu Lukaku Menama,Belgium,119,45.0,0.38,26.0,0.65
Lene Christensen,Denmark Women's,72,27.0,0.38,49.0,0.53
Emil Peter Forsberg,Sweden,136,51.0,0.38,47.0,0.68
Daniel Carvajal Ramos,Spain,321,120.0,0.37,83.0,0.64
Jordan Pickford,England,403,149.0,0.37,290.0,0.49
Rodrigo Javier De Paul,Argentina,419,157.0,0.37,131.0,0.76
Julián Álvarez,Argentina,97,36.0,0.37,15.0,0.73
Steven Zuber,Switzerland,121,45.0,0.37,26.0,0.58
Selim Amallah,Morocco,62,23.0,0.37,14.0,0.79
Gianluigi Donnarumma,Italy,160,57.0,0.36,99.0,0.49
Kim Thanh Trần Thị,Vietnam Women's,28,10.0,0.36,23.0,0.43
Madelen Fatimma Maria Janogy,Sweden Women's,33,12.0,0.36,9.0,0.44
Cristiana Girelli,Italy Women's,137,49.0,0.36,44.0,0.61
Abolfazl Jalali,Iran,11,4.0,0.36,2.0,0.5
N'Golo Kanté,France,492,176.0,0.36,156.0,0.68
Osinachi Marvis Ohale,Nigeria Women's,103,37.0,0.36,71.0,0.49
Carlos Henrique Casimiro,Brazil,302,108.0,0.36,112.0,0.73
Shanshan Wang,China PR Women's,111,40.0,0.36,49.0,0.71
Julie Beth Ertz,United States Women's,193,69.0,0.36,89.0,0.71
Raphael Dias Belloli,Brazil,124,45.0,0.36,33.0,0.79
Wendie Renard,France Women's,473,167.0,0.35,253.0,0.58
Francesca Durante,Italy Women's,40,14.0,0.35,30.0,0.4
Heung-Min Son,South Korea,99,35.0,0.35,30.0,0.77
Diogo Meireles Costa,Portugal,142,49.0,0.35,101.0,0.47
Yao Wei,China PR Women's,66,23.0,0.35,31.0,0.61
Julián Malatini,Werder Bremen,17,6.0,0.35,4.0,0.25
Sebastian Larsson,Sweden,165,58.0,0.35,54.0,0.65
Thomas Meunier,Belgium,312,108.0,0.35,96.0,0.72
Bilal El Khannous,Morocco,26,9.0,0.35,7.0,0.86
Samantha May Kerr,Australia Women's,92,32.0,0.35,28.0,0.36
